Year,2019,2019,2019,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023
Status,Yes,No,WantTo,Yes,No,WantTo,Yes,No,WantTo,Yes,No,WantTo,Yes,No,WantTo
JavaScript,59219,24480,5184,26188,22090,16183,53587,25808,4044,46443,23818,3007,55711,30703,2770
HTML/C,55466,31258,2159,20771,26865,16825,46259,35669,1511,39142,33007,1119,46396,41581,1207
Python,36443,39078,13362,26682,29350,8429,39792,35710,7937,34155,32762,6351,43158,39589,6437
SQL,47544,38242,3097,19970,30856,13635,38835,41984,2620,35127,35905,2236,42623,44352,2209
TypeScript,18523,60179,10181,17150,42519,4792,24909,49742,8788,24752,40649,7867,34041,47296,7847
Java,70113,14795,3975,31671,15924,16866,62371,17761,3307,53553,17232,2483,63638,23199,2347
C#,27097,57483,4303,13674,43508,7279,22984,56697,3758,19883,50307,3078,24193,61607,3384
C++,20524,62178,6181,9756,46952,7753,20057,58009,5373,16024,53102,4142,19634,65091,4459
C,71988,13519,3376,33645,15753,15063,64021,16459,2959,54203,16492,2573,65678,20580,2926
PHP,23030,63563,2290,7106,47939,9416,18130,63753,1556,14827,57286,1155,16274,71704,1206
